               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095056,            0.030754,            0.037032,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0031125,           0.0031125,            0.070629
                   1,            0.074758,             0.02533,            0.019062,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0060227,           0.0060227,            0.041064
                   2,            0.069065,             0.02257,            0.013342,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0087272,           0.0087272,            0.011293
                   3,            0.061388,            0.021926,             0.01013,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0086406,           0.0086406,           0.0086406
                   4,            0.055878,            0.021684,           0.0074957,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0086406,           0.0086406,           0.0086406
                   5,            0.051887,            0.021431,           0.0063257,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0083241,           0.0083241,           0.0083241
                   6,            0.049842,            0.020537,           0.0060094,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0080077,           0.0080077,           0.0080077
                   7,            0.047968,            0.019925,           0.0050013,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0076912,           0.0076912,           0.0076912
                   8,            0.046472,            0.019835,            0.004851,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0073748,           0.0073748,           0.0073748
                   9,            0.045873,            0.019538,           0.0044806,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0070583,           0.0070583,           0.0070583
                  10,            0.044224,            0.019497,           0.0043975,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0067418,           0.0067418,           0.0067418
                  11,            0.043459,            0.019087,           0.0041079,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0064254,           0.0064254,           0.0064254
                  12,            0.042568,             0.01885,             0.00352,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0061089,           0.0061089,           0.0061089
                  13,            0.041918,            0.019014,           0.0036035,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057924,           0.0057924,           0.0057924
                  14,             0.04124,             0.01801,           0.0034138,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005476,            0.005476,            0.005476
                  15,            0.040639,            0.018024,           0.0035218,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051595,           0.0051595,           0.0051595
                  16,            0.039992,             0.01788,           0.0033055,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004843,            0.004843,            0.004843
                  17,            0.039178,            0.017746,           0.0031401,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0045266,           0.0045266,           0.0045266
                  18,            0.039008,            0.017498,           0.0032647,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0042101,           0.0042101,           0.0042101
                  19,            0.038574,            0.017567,           0.0029926,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0038937,           0.0038937,           0.0038937
                  20,            0.038084,            0.018065,           0.0028478,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035772,           0.0035772,           0.0035772
                  21,             0.03716,            0.017291,           0.0028245,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032607,           0.0032607,           0.0032607
                  22,            0.037567,            0.017547,           0.0027913,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029443,           0.0029443,           0.0029443
                  23,            0.036531,            0.017396,           0.0027047,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026278,           0.0026278,           0.0026278
                  24,            0.036393,               0.017,            0.002431,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023113,           0.0023113,           0.0023113
                  25,            0.035938,            0.016667,           0.0025261,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019949,           0.0019949,           0.0019949
                  26,            0.035473,            0.017075,           0.0023683,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016784,           0.0016784,           0.0016784
                  27,            0.034945,            0.016543,           0.0021978,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013619,           0.0013619,           0.0013619
                  28,            0.034755,            0.016621,           0.0023167,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010455,           0.0010455,           0.0010455
                  29,            0.034975,            0.016963,           0.0023513,             0.90259,             0.62971,              0.6888,             0.40749,            0.033955,            0.015146,           0.0021071,          0.00072902,          0.00072902,          0.00072902
                   0,            0.095087,            0.036982,            0.031727,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054804,           0.0054804,            0.050604
                   1,            0.076784,            0.029206,            0.018232,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.010604,            0.010604,             0.01433
                   2,            0.065621,            0.027522,            0.012886,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.010704,            0.010704,            0.010704
                   3,            0.056843,            0.026607,           0.0094658,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.010704,            0.010704,            0.010704
                   4,            0.052677,            0.026114,           0.0075907,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.010325,            0.010325,            0.010325
                   5,            0.049748,            0.025701,           0.0061452,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099473,           0.0099473,           0.0099473
                   6,            0.048645,            0.024649,           0.0054186,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0095691,           0.0095691,           0.0095691
                   7,            0.046445,            0.024071,           0.0047298,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009191,            0.009191,            0.009191
                   8,            0.044997,            0.024002,           0.0046698,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0088128,           0.0088128,           0.0088128
                   9,            0.044534,            0.023759,            0.003957,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0084346,           0.0084346,           0.0084346
                  10,            0.043503,            0.023568,           0.0040692,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0080564,           0.0080564,           0.0080564
